Unnamed: 0_wildfire,id,fire_number,year,discovered_date,date_wildfire,detection_agent_type,smoke_type,smoke_color,smoke_base_size,condition_of_smoke,latitude_wildfire,longitude_wildfire,dispatch_date,dispatched_resource,ia_getaway_time,assessment_datetime,assessment_size,assessment_result,assessment_resource,fire_spread_rate,fire_type,fuel_type,fire_position_on_slope,comments,general_cause,eco_zone_flag,wui_indicator,temperature,relative_humidity_wildfire,wind_direction,wind_speed,weather_conditions_over_fire,initial_action_by,ia_arrival_at_fire_date,ia_access,air_ff_start_date,air_ff_start_size,ground_ff_start_date,ground_ff_start_size,bucketing_on_fire,distance_from_water_source,first_bucket_drop_date,first_bh_date,first_bh_size,first_uc_date,first_uc_size,first_to_date,first_to_size,first_ex_date,first_ex_size_perimeter,current_size,size_class,ia_getaway_obj,ia_start_size_obj,first_burn_period_obj,contained_size_obj,geometry,FA_NAME,forest_area,hour_of_day,date_day,Unnamed: 0_weather,station_id,date_weather,update_timestamp,dry_bulb_temperature,dew_point,relative_humidity_weather,rain_mm,snow_cm,hail_mm,precipitation_mm,wind_speed_kmh,wind_gust_kmh,wind_azimuth,ffmc,dmc,dc,isi,bui,fwi,dsr,latitude_weather,longitude_weather
1896,15208,E03053,1998,8/6/1998 14:37,1998-08-06 14:38:00,UNP,,,,,56.1007,-112.6083,8/6/1998 14:38,RAP,10  minutes,8/6/1998 14:38,0.3,,,0.5,Ground,S2,Upper 1/3,,Lightning,,N,,,SW,19.0,Clear,HAC1R,,,,,,,,,,8/8/1998 14:00,2.0,8/9/1998 14:00,2.0,,,8/11/1998 10:20,2.0,2.0,B,Y,?,N,Y,POINT (648701.1739275551 6217376.07847145),Lac La Biche Forest Area,Lac La Biche,14.63333333,1998-08-06,804101,L1,1998-08-06,,21.7,7.0,36.0,2.28,0.0,0.0,2.28,26.0,45.0,135,84.8,52.5,344.4,7.6,76.0,22.6,6.79,56.11,-112.55
1919,15508,W01038,1998,8/14/1998 19:20,1998-08-14 19:23:00,LKT,I,LG,S,,54.4541,-118.9631,8/14/1998 19:23,HAC,5  minutes,8/14/1998 19:42,0.01,,,0.1,Surface,C2,Upper 1/3,,Lightning,,N,,,W,10.0,Cloudy,HAC1H,,,,,,,,,,8/15/1998 12:25,0.01,8/15/1998 12:50,0.01,,,8/15/1998 13:25,0.01,0.01,A,N,?,N,Y,POINT (243225.2385759564 6038862.800045599),Grande Prairie Forest Area,Grande Prairie,19.38333333,1998-08-14,752400,KA,1998-08-14,,22.0,8.8,42.83,0.0,0.0,0.0,0.0,4.0,19.0,225,90.6,89.7,313.1,5.7,104.5,21.8,6.38,54.42,-118.98
1929,15477,W06122,1998,8/12/1998 16:20,1998-08-12 16:25:00,LKT,,,,,56.6353,-116.0014,8/12/1998 16:25,Man-up Crew,5  minutes,8/12/1998 16:59,0.2,,,0.0,Ground,M2,Flat,bUCKETING AND 4 MEN,Lightning,,N,,,SW,25.0,Clear,Man-up Crew,,,,,,,,,,8/13/1998 13:45,0.2,8/13/1998 13:45,0.2,,,8/13/1998 15:30,0.2,0.2,B,N,Y,N,Y,POINT (438599.0730059815 6274726.849571054),Slave Lake Forest Area,Slave Lake,16.41666667,1998-08-12,1010396,OL,1998-08-12,,20.0,11.2,56.88,0.6,0.0,0.0,0.6,20.0,43.0,90,87.2,37.9,441.3,7.8,62.4,20.9,5.9,56.7,-115.92
1930,15519,W05179,1998,8/16/1998 17:48,1998-08-16 17:54:00,LKT,I,LG,S,,56.0269,-114.6761,8/16/1998 17:54,Forest Officer,3 minutes,8/16/1998 17:58,0.1,,,0.0,Ground,M2,Middle 1/3,,Lightning,,N,,,NE,13.0,Cloudy,Forest Officer,,,,,,,,,,8/16/1998 18:30,0.1,8/16/1998 18:30,0.1,,,8/16/1998 21:00,0.1,0.1,A,Y,Y,Y,Y,POINT (520178.7832017245 6206636.168224938),Slave Lake Forest Area,Slave Lake,17.9,1998-08-16,928787,MQ,1998-08-16,,18.0,6.4,46.58,0.0,0.0,0.0,0.0,13.0,,225,87.4,60.7,437.5,5.7,90.1,20.1,5.53,56.08,-114.65
1951,15034,W07099,1998,8/4/1998 16:40,1998-08-04 16:40:00,AIR,,,,,55.3497,-116.1695,8/4/1998 16:40,Forest Officer,3 minutes,8/4/1998 16:43,0.1,,,0.1,Surface,C3,Flat,pump and men,Lightning,,N,,,W,5.0,Cloudy,Forest Officer,,,,,,,,,,8/5/1998 13:00,0.1,8/5/1998 13:00,0.1,,,8/5/1998 15:24,0.1,0.1,A,N,Y,N,Y,POINT (425872.354341704 6131874.734944011),Slave Lake Forest Area,Slave Lake,16.66666667,1998-08-04,478953,EH,1998-08-04,,28.5,16.9,49.46,6.2,0.0,0.0,6.2,8.0,,90,74.1,26.9,363.5,1.1,45.4,2.9,0.18,55.32,-116.2
1957,15365,W06101,1998,8/9/1998 17:15,1998-08-09 17:15:00,AIR,LC,LG,S,,56.2063,-116.3917,8/9/1998 17:15,Man-up Crew,5  minutes,8/9/1998 17:15,0.1,,,0.2,Surface,M2,Flat,,Lightning,,N,,,W,5.0,Cloudy,Man-up Crew,,,,,,,,,,8/13/1998 10:33,0.1,8/13/1998 10:33,0.1,,,8/14/1998 8:45,0.1,0.1,A,Y,Y,N,Y,POINT (413703.4201126065 6227419.047468487),Peace River Forest Area,Peace River,17.25,1998-08-09,363090,CU,1998-08-09,,23.0,13.7,55.79,0.0,0.0,0.0,0.0,7.0,,360,86.1,13.8,288.3,3.5,24.6,6.5,0.75,56.3,-116.43
1961,15359,N03126,1998,8/9/1998 15:20,1998-08-09 15:25:00,LKT,HC,DG,L,,54.4249,-116.4391,8/9/1998 15:25,Man-up Crew,3 minutes,8/9/1998 15:40,0.2,,,1.0,Crown,M2,Flat,Water truck and Tankers,Lightning,,N,,,NW,5.0,Clear,Man-up Crew,,,,,,,,,,8/9/1998 17:30,0.7,8/9/1998 17:30,0.7,,,8/10/1998 10:30,0.7,0.7,B,Y,Y,Y,Y,POINT (406671.4163502598 6029338.025112253),Whitecourt Forest Area,Whitecourt,15.41666667,1998-08-09,451535,EA,1998-08-09,,26.5,6.2,27.38,0.0,0.0,0.0,0.0,16.0,,45,92.6,35.3,239.0,13.9,51.6,28.4,10.15,54.46,-116.44
2009,15800,S03024,1998,9/13/1998 15:51,1998-09-13 15:51:00,UNP,,,,,51.7158,-115.4133,9/13/1998 15:51,HAC,3 minutes,9/13/1998 16:08,0.02,,,0.0,Ground,S2,Lower 1/3,,Lightning,,N,,,S,5.0,Clear,HAC1H,,,,,,,,,,9/13/1998 16:43,0.02,9/13/1998 16:43,0.02,,,9/14/1998 12:00,0.02,0.02,A,Y,?,Y,Y,POINT (471458.8886966709 5727217.56129792),Rocky Mountain House Forest Area,Rocky Mountain House,15.85,1998-09-13,71095,B3,1998-09-13,,15.4,5.0,49.0,0.0,0.0,0.0,0.0,16.0,,270,88.9,80.4,328.7,8.2,99.8,27.4,9.54,51.65,-115.36
2010,15801,E03071,1998,9/13/1998 15:30,1998-09-13 15:35:00,LKT,LC,LG,S,,56.1442,-112.5364,9/13/1998 15:35,Air Tanker,3 minutes,9/13/1998 16:31,0.8,,,0.8,Ground,S1,Flat,"Tankers
Big Pumps/Mark 3's
8000 ft hose
Still well/relay tanks
squad boss",Lightning,,N,,,NW,30.0,Cloudy,Air Tanker,,,,,,,,,,9/18/1998 18:00,3.0,9/18/1998 18:00,3.0,,,9/24/1998 17:30,3.0,3.0,B,Y,Y,N,Y,POINT (652997.6364644858 6222371.248380424),Lac La Biche Forest Area,Lac La Biche,15.58333333,1998-09-13,804139,L1,1998-09-13,,15.0,5.0,48.0,0.25,0.0,0.0,0.25,25.0,43.0,135,88.7,45.1,475.0,12.5,72.9,31.2,12.03,56.11,-112.55
2025,14640,E02103,1998,6/24/1998 13:03,1998-06-24 13:05:00,LKT,LC,LG,S,,55.6977,-111.1707,6/24/1998 13:05,Air Tanker,10  minutes,6/24/1998 13:36,0.1,,,0.1,Surface,C1,Flat,,Lightning,,N,,,W,10.0,Cloudy,Air Tanker,,,,,,,,,,6/24/1998 14:36,0.1,6/24/1998 14:36,0.1,,,6/25/1998 19:00,0.1,0.1,A,Y,Y,Y,Y,POINT (740524.2561366996 6176608.994801657),Lac La Biche Forest Area,Lac La Biche,13.08333333,1998-06-24,317560,CK,1998-06-24,,23.0,15.5,62.67,5.3,0.0,0.0,5.3,6.0,,225,64.5,35.4,306.5,0.7,55.0,1.8,0.08,55.62,-111.17
2027,15811,S01015,1998,9/17/1998 11:30,1998-09-17 11:37:00,AIR,,,,,49.4541,-114.3422,9/17/1998 11:37,HAC,3 minutes,9/17/1998 11:43,0.01,,,0.0,Surface,C3,Middle 1/3,,Lightning,,N,,,W,10.0,Rainshowers,HAC1H,,,,,,,,,,9/17/1998 12:00,0.01,9/17/1998 12:00,0.01,,,9/17/1998 12:55,0.01,0.01,A,Y,?,Y,Y,POINT (547655.0021610388 5475953.743458518),Calgary Forest Area,Calgary,11.61666667,1998-09-17,242662,C2,1998-09-17,,18.9,9.0,51.0,0.25,0.0,0.0,0.25,5.0,,135,89.6,141.9,563.2,5.2,174.2,24.6,7.86,49.39,-114.34
2027,15811,S01015,1998,9/17/1998 11:30,1998-09-17 11:37:00,AIR,,,,,49.4541,-114.3422,9/17/1998 11:37,HAC,3 minutes,9/17/1998 11:43,0.01,,,0.0,Surface,C3,Middle 1/3,,Lightning,,N,,,W,10.0,Rainshowers,HAC1H,,,,,,,,,,9/17/1998 12:00,0.01,9/17/1998 12:00,0.01,,,9/17/1998 12:55,0.01,0.01,A,Y,?,Y,Y,POINT (547655.0021610388 5475953.743458518),Calgary Forest Area,Calgary,11.61666667,1998-09-17,282556,CB,1998-09-17,,14.0,5.8,57.7,0.01,0.0,0.0,0.01,15.0,,225,87.5,123.2,440.6,6.4,145.1,26.9,9.2,49.43,-114.36
2028,15812,S01017,1998,9/17/1998 13:25,1998-09-17 13:25:00,AIR,,,,,49.6221,-114.4124,9/17/1998 13:25,HAC,3 minutes,9/17/1998 13:40,0.01,,,0.0,Surface,C7,Middle 1/3,,Lightning,,N,,,E,5.0,Clear,HAC1H,,,,,,,,,,9/17/1998 14:30,0.01,9/17/1998 14:30,0.01,,,9/17/1998 15:15,0.01,0.01,A,Y,?,Y,Y,POINT (542423.6368373838 5494581.624822254),Calgary Forest Area,Calgary,13.41666667,1998-09-17,192984,BQ,1998-09-17,,18.0,10.7,62.34,3.0,0.0,0.0,3.0,9.0,,90,70.0,105.7,553.3,1.0,143.1,6.1,0.66,49.61,-114.45
2028,15812,S01017,1998,9/17/1998 13:25,1998-09-17 13:25:00,AIR,,,,,49.6221,-114.4124,9/17/1998 13:25,HAC,3 minutes,9/17/1998 13:40,0.01,,,0.0,Surface,C7,Middle 1/3,,Lightning,,N,,,E,5.0,Clear,HAC1H,,,,,,,,,,9/17/1998 14:30,0.01,9/17/1998 14:30,0.01,,,9/17/1998 15:15,0.01,0.01,A,Y,?,Y,Y,POINT (542423.6368373838 5494581.624822254),Calgary Forest Area,Calgary,13.41666667,1998-09-17,726048,IS,1998-09-17,,13.5,10.1,79.89,2.6,0.0,0.0,2.6,20.0,,315,66.3,84.5,456.1,1.5,115.6,8.1,1.11,49.57,-114.5
2029,15813,S01016,1998,9/17/1998 13:16,1998-09-17 13:16:00,AIR,,,,,49.5347,-114.401,9/17/1998 13:16,HAC,3 minutes,9/17/1998 13:20,0.01,,,0.1,Surface,C2,Middle 1/3,1 bladder bag 1 r/w,Lightning,,N,,,E,10.0,Clear,HAC1H,,,,,,,,,,9/17/1998 14:30,0.01,9/17/1998 14:30,0.01,,,9/17/1998 16:00,0.01,0.01,A,Y,?,Y,Y,POINT (543323.9981204196 5484875.26885782),Calgary Forest Area,Calgary,13.26666667,1998-09-17,192984,BQ,1998-09-17,,18.0,10.7,62.34,3.0,0.0,0.0,3.0,9.0,,90,70.0,105.7,553.3,1.0,143.1,6.1,0.66,49.61,-114.45
2029,15813,S01016,1998,9/17/1998 13:16,1998-09-17 13:16:00,AIR,,,,,49.5347,-114.401,9/17/1998 13:16,HAC,3 minutes,9/17/1998 13:20,0.01,,,0.1,Surface,C2,Middle 1/3,1 bladder bag 1 r/w,Lightning,,N,,,E,10.0,Clear,HAC1H,,,,,,,,,,9/17/1998 14:30,0.01,9/17/1998 14:30,0.01,,,9/17/1998 16:00,0.01,0.01,A,Y,?,Y,Y,POINT (543323.9981204196 5484875.26885782),Calgary Forest Area,Calgary,13.26666667,1998-09-17,726048,IS,1998-09-17,,13.5,10.1,79.89,2.6,0.0,0.0,2.6,20.0,,315,66.3,84.5,456.1,1.5,115.6,8.1,1.11,49.57,-114.5
2040,10090,N02019,1998,5/3/1998 10:47,1998-05-03 10:47:00,LKT,HC,DG,S,,53.5664,-116.5742,5/3/1998 10:47,Forest Officer,10  minutes,5/3/1998 10:47,0.1,,,5.0,Crown,C2,Bottom,5 crews - cats & equipment.,Undetermined,,N,,,NW,20.0,Clear,Forest Officer,,,,,,,,,,5/4/1998 9:00,40.0,5/5/1998 15:30,75.0,,,5/15/1998 13:01,75.0,75.0,D,N,Y,Y,N,POINT (395788.1566695969 5934057.72732249),Edson Forest Area,Edson,10.78333333,1998-05-03,28139,AN,1998-05-03,,16.0,-3.4,26.16,0.0,0.0,0.0,0.0,37.0,52.0,135,93.1,54.4,253.2,42.7,70.8,67.4,46.91,53.55,-116.5
2046,15818,E03074,1998,9/17/1998 19:40,1998-09-17 19:41:00,UNP,,,,,55.254,-113.2212,,,,9/17/1998 21:20,0.3,,,0.1,Ground,M2,Flat,,Miscellaneous Known,,N,,,CLM,0.0,Clear,Municipal District,,,,,,,,,,9/18/1998 8:05,0.3,9/18/1998 8:05,0.3,,,9/18/1998 10:45,0.3,0.3,B,,,Y,Y,POINT (613015.6871966808 6122048.385146137),Lac La Biche Forest Area,Lac La Biche,19.68333333,1998-09-17,325234,CL,1998-09-17,,8.5,1.0,59.2,0.0,0.0,0.0,0.0,1.0,,270,86.2,46.2,494.4,2.6,74.9,10.0,1.6,55.21,-113.2
2059,9039,N02009,1998,4/20/1998 15:54,1998-04-20 15:57:00,LKT,HC,LG,S,,53.5518,-116.4638,4/20/1998 15:57,Forest Officer,60  minutes,4/20/1998 16:21,0.3,,,0.5,Surface,O1a,Middle 1/3,Water tanker,Resident,,N,,,SE,2.0,Clear,Forest Officer,,,,,,,,,,4/20/1998 16:15,0.3,4/20/1998 16:30,0.3,4/20/1998 16:48,0.3,4/20/1998 16:48,0.3,0.3,B,Y,Y,Y,Y,POINT (403062.7636703465 5932278.335980474),Edson Forest Area,Edson,15.95,1998-04-20,28126,AN,1998-04-20,,11.0,-9.9,21.99,0.0,0.0,0.0,0.0,2.0,,315,91.2,23.7,203.4,5.6,36.7,12.3,2.29,53.55,-116.5
2060,15376,W05171,1998,8/9/1998 19:26,1998-08-09 19:37:00,LKT,I,LG,S,,57.2356,-114.624,8/9/1998 19:37,HAC,3 minutes,8/9/1998 22:36,0.3,,,0.5,Ground,M2,Flat,,Lightning,,N,,,SW,5.0,Cloudy,HAC1H,,,,,,,,,,8/11/1998 8:52,0.5,8/11/1998 9:00,0.5,,,8/11/1998 10:13,0.5,0.5,B,N,?,N,Y,POINT (522687.5167530725 6341136.448180409),Slave Lake Forest Area,Slave Lake,19.61666667,1998-08-09,1034414,PA,1998-08-09,,24.0,12.2,47.61,0.0,0.0,0.0,0.0,12.0,,45,89.3,54.4,316.5,7.1,76.1,21.8,6.34,57.18,-114.61
2071,12303,E01019,1998,5/20/1998 19:00,1998-05-20 19:00:00,LKT,,,,,57.8403,-112.1631,5/20/1998 19:00,HAC,3 minutes,5/20/1998 22:44,0.2,,,0.1,Surface,C2,Flat,nil,Lightning,,N,,,W,15.0,Cloudy,HAC1H,,,,,,,,,,5/20/1998 21:00,0.2,5/20/1998 21:00,0.2,,,8/20/1998 21:20,0.2,0.2,B,N,?,Y,Y,POINT (668335.6272069205 6411894.226703648),Fort McMurray Forest Area,Fort McMurray,19.0,1998-05-20,176238,BN,1998-05-20,,22.0,8.8,42.83,0.6,0.0,0.0,0.6,15.0,,90,88.7,27.2,164.6,7.6,38.5,15.8,3.6,57.87,-112.1
2073,11528,N02033,1998,5/14/1998 15:03,1998-05-14 15:08:00,AIR,,,,,53.7919,-116.67,5/14/1998 15:08,HAC,5  minutes,5/14/1998 15:08,0.1,,,0.5,Crown,M2,Middle 1/3,,Lightning,,N,,,NW,15.0,Rainshowers,HAC1H,,,,,,,,,,5/14/1998 15:03,0.1,5/14/1998 16:00,0.1,,,5/14/1998 16:30,0.1,0.1,A,Y,?,Y,Y,POINT (390035.7448392611 5959276.885544203),Edson Forest Area,Edson,15.13333333,1998-05-14,884288,MB,1998-05-14,,13.0,3.4,52.06,0.01,0.0,0.0,0.01,11.0,,180,88.1,58.6,121.7,5.7,58.4,16.0,3.68,53.86,-116.67
2090,15112,N03098,1998,8/5/1998 18:45,1998-08-05 18:45:00,UNP,,,,,54.1484,-117.3311,8/5/1998 18:45,Air Tanker,3 minutes,8/6/1998 15:10,0.1,,,0.1,Surface,C2,Flat,,Lightning,,N,,,W,30.0,Clear,Air Tanker,,,,,,,,,,8/6/1998 15:45,0.1,8/6/1998 15:45,0.1,,,8/6/1998 16:30,0.1,0.1,A,Y,Y,Y,Y,POINT (347815.5278019415 6000141.826858908),Whitecourt Forest Area,Whitecourt,18.75,1998-08-05,130553,BE,1998-08-05,,24.5,12.1,45.9,0.0,0.0,0.0,0.0,12.0,,360,90.6,29.9,156.2,8.5,40.4,17.7,4.41,54.09,-117.4
2124,15041,W07100,1998,8/4/1998 18:37,1998-08-04 18:37:00,AIR,,,,,55.2533,-116.1698,8/4/1998 18:37,Man-up Crew,3 minutes,8/4/1998 18:44,0.1,,,0.1,Ground,S2,Flat,,Lightning,,N,,,NE,5.0,Clear,Man-up Crew,,,,,,,,,,8/4/1998 20:10,0.1,8/4/1998 20:10,0.1,,,8/5/1998 14:30,0.1,0.1,A,N,Y,Y,Y,POINT (425673.323917486 6121152.302588571),Slave Lake Forest Area,Slave Lake,18.61666667,1998-08-04,478953,EH,1998-08-04,,28.5,16.9,49.46,6.2,0.0,0.0,6.2,8.0,,90,74.1,26.9,363.5,1.1,45.4,2.9,0.18,55.32,-116.2
2176,13660,W06027,1998,5/28/1998 17:19,1998-05-28 17:20:00,LKT,S,LG,S,,57.1981,-116.4581,5/28/1998 17:20,RAP,5  minutes,5/28/1998 17:40,0.2,,,4.0,Surface,C2,Bottom,"Tankers, bucketing,Rap10",Lightning,,N,,,N,6.0,Clear,HAC1R,,,,,,,,,,5/28/1998 19:30,0.2,5/28/1998 19:30,0.2,,,5/28/1998 20:10,0.2,0.2,B,Y,?,Y,Y,POINT (411933.8816779872 6337843.033209207),Peace River Forest Area,Peace River,17.33333333,1998-05-28,204310,BS,1998-05-28,,15.0,-8.5,18.9,0.0,0.0,0.0,0.0,7.0,,225,91.8,34.6,287.1,7.9,53.2,19.4,5.16,57.11,-116.51
2178,15938,W01055,1998,10/26/1998 13:25,1998-10-26 13:27:00,UNP,LC,LG,S,,55.0214,-118.9969,10/26/1998 13:27,Forest Officer,Project Status,10/26/1998 14:00,0.5,,,0.1,Ground,D1,Flat,,Resident,,N,,,W,35.0,Cloudy,Forest Officer,,,,,,,,,,10/26/1998 15:30,0.5,10/26/1998 15:30,0.5,10/26/1998 15:45,0.5,10/26/1998 15:49,0.5,0.5,B,,Y,Y,Y,POINT (244633.533758849 6102036.019986188),Grande Prairie Forest Area,Grande Prairie,13.45,1998-10-26,611374,GD,1998-10-26,,14.0,4.5,52.7,0.0,0.0,0.0,0.0,10.0,,45,83.4,9.5,510.2,2.8,18.1,4.3,0.35,54.98,-118.94
2192,15033,E02124,1998,8/4/1998 15:16,1998-08-04 15:17:00,LKT,LC,LG,S,,55.0113,-110.6436,8/4/1998 15:17,Air Tanker,3 minutes,8/4/1998 16:34,4.0,,,5.0,Crown,C2,Flat,group 3,Lightning,,N,,,SW,19.0,Clear,Air Tanker,,,,,,,,,,8/5/1998 12:00,7.0,8/6/1998 14:00,7.0,,,8/7/1998 14:00,7.0,7.0,C,Y,N,N,N,POINT (778390.7966537212 6102287.136070867),Lac La Biche Forest Area,Lac La Biche,15.28333333,1998-08-04,812339,L2,1998-08-04,,28.8,16.0,43.0,0.0,0.0,0.0,0.0,14.0,34.0,360,87.4,26.4,202.9,6.0,39.9,13.4,2.7,55.01,-110.61
2193,15430,N03127,1998,8/10/1998 16:20,1998-08-10 16:25:00,UNP,LC,LG,S,,54.4103,-114.8319,8/10/1998 16:25,HAC,10  minutes,8/10/1998 16:28,0.1,,,0.5,Surface,O1b,Bottom,,Undetermined,,N,,,NE,12.0,Cloudy,HAC1H,,,,,,,,,,8/10/1998 16:40,0.1,8/10/1998 16:40,0.1,,,8/10/1998 17:00,0.1,0.1,A,Y,?,Y,Y,POINT (510905.8686435738 6026773.778231912),Whitecourt Forest Area,Whitecourt,16.41666667,1998-08-10,538352,FA,1998-08-10,,25.0,10.5,40.07,0.0,0.0,0.0,0.0,12.0,,225,89.9,45.6,484.4,7.8,73.9,22.7,6.84,54.34,-114.81
2200,14618,E02088,1998,6/23/1998 19:22,1998-06-23 19:26:00,LKT,LC,LG,S,,55.5044,-111.945,6/23/1998 19:26,HAC,3 minutes,6/23/1998 20:00,4.0,,,5.0,Crown,C2,Upper 1/3,a/t,Lightning,,N,,,CLM,0.0,Clear,HAC1H,,,,,,,,,,6/27/1998 15:14,1200.0,7/1/1998 18:11,1200.0,,,7/19/1998 16:30,1301.0,1301.0,E,Y,?,N,N,POINT (692854.7251208136 6152700.644361354),Lac La Biche Forest Area,Lac La Biche,19.43333333,1998-06-23,354398,CR,1998-06-23,,25.0,5.9,29.31,0.0,0.0,0.0,0.0,22.0,37.0,45,92.9,52.5,339.7,19.5,75.7,42.7,20.88,55.59,-111.85
2233,15103,N03091,1998,8/5/1998 14:20,1998-08-05 14:25:00,UNP,LC,LG,S,,54.1266,-117.4934,8/5/1998 14:25,Air Tanker,5  minutes,8/5/1998 14:42,0.1,,,0.1,Surface,C2,Flat,,Lightning,,N,,,S,12.0,Cloudy,Air Tanker,,,,,,,,,,8/5/1998 14:50,0.1,8/5/1998 14:50,0.1,,,8/8/1998 13:30,0.1,0.1,A,N,Y,Y,Y,POINT (337136.3606879617 5998079.704145432),Whitecourt Forest Area,Whitecourt,14.41666667,1998-08-05,130553,BE,1998-08-05,,24.5,12.1,45.9,0.0,0.0,0.0,0.0,12.0,,360,90.6,29.9,156.2,8.5,40.4,17.7,4.41,54.09,-117.4
2254,14634,E01091,1998,6/24/1998 13:31,1998-06-24 13:32:00,LKT,,,,,57.15,-112.3333,6/24/1998 13:32,Helitanker,3 minutes,6/24/1998 14:00,0.01,,,0.0,Ground,C2,Flat,,Lightning,,N,,,SW,16.0,CB Wet,Helitanker,,,,,,,,,,6/24/1998 14:30,0.01,6/24/1998 14:30,0.01,,,6/24/1998 15:15,0.01,0.01,A,Y,Y,Y,Y,POINT (661255.529706647 6334702.244100279),Fort McMurray Forest Area,Fort McMurray,13.53333333,1998-06-24,486743,EL,1998-06-24,,26.0,10.8,38.52,0.0,0.0,0.0,0.0,6.0,,45,89.9,55.6,351.8,5.7,79.7,19.0,4.98,57.21,-112.31
2288,15190,W05144,1998,8/6/1998 14:15,1998-08-06 14:15:00,AIR,,,,,55.1266,-114.8986,8/6/1998 14:15,Air Tanker,10  minutes,8/6/1998 14:44,0.4,,,0.1,Surface,C2,Flat,Tankers,Lightning,,N,,,SW,30.0,Clear,Air Tanker,,,,,,,,,,8/8/1998 19:55,0.4,8/8/1998 19:55,0.4,,,8/10/1998 13:39,0.4,0.4,B,Y,Y,N,Y,POINT (506463.3811841456 6106439.652452063),Slave Lake Forest Area,Slave Lake,14.25,1998-08-06,568214,FT,1998-08-06,,17.0,4.1,42.27,4.0,0.0,0.0,4.0,23.0,43.0,45,74.5,23.1,221.4,2.4,36.7,5.8,0.61,55.15,-114.82
2307,15912,E01218,1998,10/22/1998 11:30,1998-10-22 12:00:00,UNP,,,,,56.6317,-111.2411,10/22/1998 12:00,Forest Officer,Project Status,10/22/1998 13:40,0.1,,,0.0,Surface,C2,Flat,,Recreation,,N,,,CLM,0.0,Clear,Forest Officer,,,,,,,,,,10/22/1998 13:54,0.1,10/22/1998 14:00,0.1,,,10/22/1998 15:00,0.1,0.1,A,,Y,Y,Y,POINT (730438.5455988387 6280194.686631144),Fort McMurray Forest Area,Fort McMurray,12.0,1998-10-22,912657,MM,1998-10-22,,14.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,,0,86.9,59.1,705.6,2.7,97.7,12.1,2.25,56.65,-111.22
2309,9158,E02018,1998,4/22/1998 12:40,1998-04-22 12:40:00,UNP,,,,,54.4931,-110.307,4/22/1998 12:40,HAC,10  minutes,4/22/1998 15:20,18.0,,,5.0,Crown,D1,Flat,"r/w, cats",Incendiary,,N,,,W,7.0,Clear,HAC1H,,,,,,,,,,4/22/1998 18:00,25.0,4/23/1998 9:00,25.0,,,4/25/1998 12:45,51.0,51.0,D,Y,?,Y,N,POINT (803744.7949725562 6046106.073236952),Lac La Biche Forest Area,Lac La Biche,12.66666667,1998-04-22,995301,OD,1998-04-22,,18.0,-3.0,23.0,0.0,0.0,0.0,0.0,9.0,,90,,,,,,,,54.42,-110.28
2316,15964,S01021,1998,10/29/1998 0:00,1998-10-29 14:40:00,UNP,,,,,50.3316,-114.745,10/29/1998 14:40,HAC,Project Status,10/30/1998 16:20,0.5,,,0.0,Surface,C2,Upper 1/3,Will action tomorrow Oct. 31,Recreation,,N,,,W,5.0,Clear,HAC1H,,,,,,,,,,10/31/1998 12:45,0.5,10/31/1998 14:06,0.5,,,10/31/1998 16:09,0.5,0.5,B,,?,N,Y,POINT (518141.8238767455 5573300.548459861),Calgary Forest Area,Calgary,14.66666667,1998-10-29,52621,B1,1998-10-29,,3.2,-9.0,39.0,0.25,0.0,0.0,0.25,7.0,,135,85.9,49.4,473.2,3.4,78.3,12.7,2.45,50.41,-114.73
2318,15204,W05146,1998,8/6/1998 15:00,1998-08-06 15:00:00,AIR,,,,,55.1121,-114.8726,8/6/1998 15:00,Air Tanker,30  minutes,8/6/1998 15:37,0.05,,,0.2,Surface,C3,Flat,,Lightning,,N,,,W,10.0,Clear,Air Tanker,,,,,,,,,,8/10/1998 13:38,0.05,8/10/1998 13:38,0.05,,,8/10/1998 13:39,0.05,0.05,A,Y,Y,N,Y,POINT (508123.5996787875 6104829.436946683),Slave Lake Forest Area,Slave Lake,15.0,1998-08-06,568214,FT,1998-08-06,,17.0,4.1,42.27,4.0,0.0,0.0,4.0,23.0,43.0,45,74.5,23.1,221.4,2.4,36.7,5.8,0.61,55.15,-114.82
2320,14642,E02105,1998,6/24/1998 13:49,1998-06-24 13:54:00,LKT,S,LG,S,,55.6605,-111.9126,6/24/1998 13:54,RAP,5  minutes,6/24/1998 14:00,0.1,,,0.1,Surface,C2,Bottom,,Lightning,,N,,,SE,5.0,Cloudy,HAC1R,,,,,,,,,,6/24/1998 16:01,0.1,6/24/1998 16:01,0.1,,,6/24/1998 18:30,0.1,0.1,A,N,?,Y,Y,POINT (694127.0796275547 6170147.322377885),Lac La Biche Forest Area,Lac La Biche,13.9,1998-06-24,354399,CR,1998-06-24,,26.5,9.4,34.05,1.0,0.0,0.0,1.0,10.0,,315,89.8,57.3,347.9,6.9,81.2,22.0,6.48,55.59,-111.85
